"","msg_id","ts","user","type","text","reply_count","reply_users_count","ts_latest_reply","ts_thread","parent_user_id","channel"
"1",NA,"1621162008.009200","U01ULDNCVKP","message","<@U01ULDNCVKP> has renamed the channel from “questions-survival-estimation” to “questions-5-survival-estimation”",NA,NA,NA,NA,NA,"questions-5-survival-estimation"
"2",NA,"1621162018.009300","U01ULDNCVKP","message","<@U01ULDNCVKP> set the channel description: Questions for class/worksheet on ""Dead or alive: Survival estimation"".",NA,NA,NA,NA,NA,"questions-5-survival-estimation"
"3",NA,"1621260651.024900","U01UMBR0K38","message","There was clearly no science twitter back in the days...",NA,NA,NA,NA,NA,"questions-5-survival-estimation"
"4",NA,"1621261038.026700","U01ULDNCVKP","message","Sorry, I said something wrong during the HMM/capture-recapture lecture, and <@U01UDBUETM5> / <@U01UMBR0K38> are right, it's because we use dcat that we recode observations 1 and 2 and do not use 0. sorry for the confusion.",NA,NA,NA,NA,NA,"questions-5-survival-estimation"
"5",NA,"1621261244.028300","U020D3400HW","message","This dataset sounds familiar... :stuck_out_tongue_closed_eyes:",NA,NA,NA,NA,NA,"questions-5-survival-estimation"
"6",NA,"1621261247.028400","U022EA0060H","message","Always that dipper dataset... :rolling_on_the_floor_laughing:",NA,NA,NA,NA,NA,"questions-5-survival-estimation"
"7",NA,"1621261289.029400","U01ULDNCVKP","message","Gilbert is still doing the fieldwork every year :exploding_head:",1,1,"1621262049.042900",NA,NA,"questions-5-survival-estimation"
"8",NA,"1621261606.032900","U021MSK4PPH","message","Yeaaaahhh! I just saw one of our kittiwakes in the slide show!!! a 21 year old bird that I saw yesterday incubating eggs (White Black left-Yellow Light Green Blue right)! Still alive yesterday! Has been breeding on this nest since year 2004. 14 chicks raised so far....",NA,NA,NA,NA,NA,"questions-5-survival-estimation"
"9",NA,"1621261746.037500","U021RJQBBGS","message","Are there still confounding parameter estimates in a fully time dependent model in a Bayesian framework for CJS?",2,2,"1621261827.038800",NA,NA,"questions-5-survival-estimation"
"10",NA,"1621261796.038500","U01UMBR0K38","message","Yes, this is still the same. At least as long as time-variation in parameters is not constrained in any way.",NA,NA,NA,"1621261746.037500","U021RJQBBGS","questions-5-survival-estimation"
"11",NA,"1621261807.038700","U020081M3D4","message","Are there tips for reusing as much code as possible to limit redundancy when writing many versions of models <http://phi.pt|phi.pt> phi.p. Phitpt etc and all the other covariates we may want to test??",2,1,"1621262148.043900",NA,NA,"questions-5-survival-estimation"
"12",NA,"1621261827.038800","U01ULDNCVKP","message","<@U01UDBUETM5> will talk about param redundancy later on :slightly_smiling_face:",NA,NA,NA,"1621261746.037500","U021RJQBBGS","questions-5-survival-estimation"
"13",NA,"1621262021.042600","U021RJQBBGS","message","is the prior for survival always between 0 and 1 or do you sometimes bound it based on previous research for the species i.e between 0.6 and 0.9?",1,1,"1621262113.043700",NA,NA,"questions-5-survival-estimation"
