H:  S: 
/* 1=Encountered infected */
/* 2=Encounter uninfected */
/* 3=Encounter status unknown */
 0000000030000 1 
 0000000000001 1 
 0000003000001 1 
 0000000000100 1 
 0000003310001 1 
 0100000000000 1 
 0100000030010 1 
 0100000000000 1 
 0100000000000 1 
 0200000000000 1 
 0310000013031 1 
 0100000010000 1 
 0100100000000 1 
 0100000000000 1 
 0100000000000 1 
 0200000000000 1 
 0103000003001 1 
 0100000000031 1 
 0133033333030 1 
 0100000133000 1 
 0100000000000 1 
 0100000000000 1 
 0130003003001 1 
 0100000100000 1 
 0100000000000 1 
 0100000000000 1 
 0100003100000 1 
 0100000000000 1 
 0100000000010 1 
 0013030330001 1 
 0010000003031 1 
 0010100000000 1 
 0010000000000 1 
 0011000000000 1 
 0010000000000 1 
 0010000000000 1 
 0010000000000 1 
 0010000000000 1 
 0010033000031 1 
 0010003003031 1 
 0100000300030 1 
 0030033030031 1 
 0000100003000 1 
 0010003000000 1 
 0010000000000 1 
 0010000301101 1 
 0010000000000 1 
 0010000003000 1 
 0010003330000 1 
 0010000330001 1 
 0001003030030 1 
 0001000000000 1 
 0000103300000 1 
 0000100010000 1 
 0000100000000 1 
 0000111111001 1 
 0000100003031 1 
 0000133000000 1 
 0000103000000 1 
 0000100010000 1 
 0000101333003 1 
 0000203010000 1 
 0000100000000 1 
 0000130333033 1 
 0000100000000 1 
 0000100000000 1 
 0000103000000 1 
 0000133133001 1 
 0000202000000 1 
 0000100000000 1 
 0000100003033 1 
 0000100003000 1 
 0000103300031 1 
 0000103000000 1 
 0000100030000 1 
 0000100000000 1 
 0000133003000 1 
 0000100000000 1 
 0000100000000 1 
 0000100000000 1 
 0000100000001 1 
 0000100000001 1 
 0000100000000 1 
 0000110010101 1 
 0000101000031 1 
 0000100000000 1 
 0000100000000 1 
 0000110000000 1 
 0000100000000 1 
 0000100100101 1 
 0000100000000 1 
 0000100000000 1 
 0000100000000 1 
 0000100000000 1 
 0000100000000 1 
 0000001110001 1 
 0010001330030 1 
 0010013000000 1 
 0010003033033 1 
 0010001033000 1 
 0010033003031 1 
 0010000000002 1 
 0010000000000 1 
 0010000000002 1 
 0030000000000 1 
 0013010033031 1 
 0010000113111 1 
 0010101311101 1 
 0010010000000 1 
 0010000010000 1 
 0010000000000 1 
 0010001000000 1 
 0010003333033 1 
 0010000000000 1 
 0010000003000 1 
 0010000000000 1 
 0010003100001 1 
 0010000000000 1 
 0010000000000 1 
 0010003003001 1 
 0010100303031 1 
 0000001303001 1 
 0000100000000 1 
 0000100010000 1 
 0000013033000 1 
 0000010333010 1 
 0000010311111 1 
 0000010000000 1 
 0000010103000 1 
 0000001300001 1 
 0000001000000 1 
 0000001033022 1 
 0000001030100 1 
 0000001000000 1 
 0000001000000 1 
 0000001000000 1 
 0000001000000 1 
 0000001000000 1 
 0000001010000 1 
 0000001000000 1 
 0000001000000 1 
 0000001000000 1 
 0000001000000 1 
 0000001000031 1 
 0000001000000 1 
 1330133330033 1 
 1330133100000 1 
 1030003333000 1 
 0100000000000 1 
 0100000000000 1 
 0100000000003 1 
 0100033300030 1 
 0100003003000 1 
 0100033300031 1 
 0100000000000 1 
 0100030003001 1 
 0100000000001 1 
 0110303133011 1 
 0100000000000 1 
 0100000000000 1 
 0130000000000 1 
 0100100000010 1 
 0000001000000 1 
 0000001000000 1 
 0000001000000 1 
 0000001000000 1 
 0000001000000 1 
 0000001000000 1 
 0000001000000 1 
 0000001303031 1 
 0000001000000 1 
 0000001003000 1 
 0000001000000 1 
 0000001000000 1 
 0000001133030 1 
 0000001000000 1 
 0000001000000 1 
 0000000010000 1 
 0000000010000 1 
 0000000010000 1 
 0000000000001 1 
 0000000000001 1 
 0000000000001 1 
 0000000000001 1 
 0000000000001 1 
 0000000000001 1 
 0000000000001 1 
 0000000000001 1 
 0000000000001 1 
 0000000000001 1 
 0000000000001 1 
 0000000000001 1 
 0000001010000 1 
 0000001000000 1 
 0000000103001 1 
 0000000100000 1 
 0000000100000 1 
 0000000100021 1 
 0000000100000 1 
 0000000100001 1 
 0000000130001 1 
 0000000133000 1 
 0000000100000 1 
 0000000113031 1 
 0000000100000 1 
 0000000110033 1 
 0000000130000 1 
 0000000013003 1 
 0000000010000 1 
 0000000013000 1 
 0000000013031 1 
 0000000010001 1 
 0000000010000 1 
 0000000013030 1 
 0000000010000 1 
 0000000010000 1 
 0000000013000 1 
 0000000010000 1 
 0000000010000 1 
 0000000010000 1 
 0000000013000 1 
 0000000010000 1 
 0000000013000 1 
 0000000010000 1 
 0000000010010 1 
 0000000010101 1 
 0000000011000 1 
 0000000010000 1 
 0000000010001 1 
 0000000010000 1 
 0000000010000 1 
 0000000001101 1 
 0000000001000 1 
 0000000001000 1 
 0000000001030 1 
 0000000001001 1 
 0000000000001 1 
 0000000000001 1 
 0000000000001 1 
 0000000000001 1 
 0000000000001 1 
 0000000000001 1 
 0000000000001 1 
 0000000000001 1 
 0000000000001 1 
 0000000000001 1 
 0000000000001 1 
 0000000000001 1 
 0000000000001 1 
 0000000000001 1 
 0000000000001 1 
 0000000000001 1 
 0000000000001 1 
 0000000000001 1 
 0000000000001 1 
 0000000000001 1 
 0000000000001 1 
 0000000000001 1 
 0000000000001 1 
 0000000000001 1 
 0000000000001 1 
 0330033300000 1 
 0030000110001 1 
 0000000000001 1 
 0000000010000 1 
